obciazenie_karty,dlugosc_trasy
2140,2700
6050,8300
3600,4710
2350,2550
3580,4740
2550,3430
880,1080
780,1290
4480,5840
2940,3870
2510,3930
3060,4170
3740,4450
1520,1400
4290,5370
5890,8230
3550,4210
3090,3940
3390,4540
2630,2840
3600,4370
2650,3620
2730,3520
3890,4720
2970,4140
2640,3490
2330,3110
3230,3490
3760,4750
3290,3190
2050,3070
2680,2820
2940,4890
3690,4800
3600,4820
4670,6370
4520,6380
4960,7010
3110,3770
4300,6570
3870,5410
2660,3720
5280,6750
5000,6440
3810,4870
3870,4980
2800,3790
5130,6870
